function_id,system_variant,iteration_count,total_tokens_used,mutation_score_pct,estimated_cost_usd,line_coverage_pct,num_llm_calls,pass_rate_pct,repeat,provider,model,_path,iterations_detail,initial_mutation_score_pct,stop_reason
function_01,Variant_2_StatePrediction,0,1315,100.0,0.00193,100.0,1,83.3,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_01__Variant_2_StatePrediction__run3__gemini.json,[],100.0,no_survivors
function_02,Baseline_A,1,736,100.0,0.00148,66.7,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Baseline_A__run1.json,,,
function_02,Baseline_A,1,739,100.0,0.001489,66.7,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Baseline_A__run2.json,,,
function_02,Baseline_A,1,734,100.0,0.001474,66.7,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Baseline_A__run3.json,,,
function_02,Baseline_B,1,4723,100.0,0.007084,66.7,5,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Baseline_B__run1.json,,,
function_02,Baseline_B,1,4605,100.0,0.00726,66.7,5,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Baseline_B__run2.json,,,
function_02,Baseline_B,1,4825,100.0,0.00783,66.7,5,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Baseline_B__run3.json,,,
function_02,Variant_1_ErrorTrace,0,731,100.0,0.001187,100.0,1,100.0,1,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Variant_1_ErrorTrace__run1__gemini.json,[],100.0,no_survivors
function_02,Variant_1_ErrorTrace,0,727,100.0,0.001177,100.0,1,100.0,2,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Variant_1_ErrorTrace__run2__gemini.json,[],100.0,no_survivors
function_02,Variant_1_ErrorTrace,0,643,100.0,0.000967,100.0,1,100.0,3,gemini,gemini-3.5-flash-lite,/content/AI-Agentic-Testing/logs/function_02__Variant_1_ErrorTrace__run3__gemini.json,[],100.0,no_survivors
