comparison,n_pairs,wilcoxon_stat,p_value,mean_lhs,mean_rhs
Variant_1_ErrorTrace vs Baseline_A,90,103.0,0.01324056741144871,95.83944444444444,94.48455555555556
Variant_1_ErrorTrace vs Baseline_B,90,140.0,0.09367219461957203,95.83944444444444,95.10177777777777
Variant_2_StatePrediction vs Baseline_A,90,23.0,4.130568177573403e-05,96.78766666666667,94.48455555555556
Variant_2_StatePrediction vs Baseline_B,90,83.0,0.0021000991568566473,96.78766666666667,95.10177777777777
